event_id,event_type,begin_time,peak_time,end_time,class_type,source_location,active_region,instruments,note
2023-07-29T21:10:00-HSS-001,High Speed Stream,2023-07-29T21:10Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2023-08-10T18:00:00-HSS-001,High Speed Stream,2023-08-10T18:00Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2023-08-18T01:54:00-HSS-001,High Speed Stream,2023-08-18T01:54Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2023-08-19T19:10:00-HSS-001,High Speed Stream,2023-08-19T19:10Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2023-09-01T18:00:00-HSS-001,High Speed Stream,2023-09-01T18:00Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2023-09-27T16:40:00-HSS-001,High Speed Stream,2023-09-27T16:40Z,,,,,,DSCOVR: PLASMAG,
2023-10-03T11:12:00-HSS-001,High Speed Stream,2023-10-03T11:12Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2023-10-13T09:08:00-HSS-001,High Speed Stream,2023-10-13T09:08Z,,,,,,"STEREO A: IMPACT, STEREO A: PLASTIC",
2023-10-13T11:55:00-HSS-001,High Speed Stream,2023-10-13T11:55Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2023-10-18T09:02:00-HSS-001,High Speed Stream,2023-10-18T09:02Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2023-10-26T21:00:00-HSS-001,High Speed Stream,2023-10-26T21:00Z,,,,,,"STEREO A: IMPACT, STEREO A: PLASTIC",
2023-10-26T12:38:00-HSS-001,High Speed Stream,2023-10-26T12:38Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2023-10-28T05:54:00-HSS-001,High Speed Stream,2023-10-28T05:54Z,,,,,,"STEREO A: IMPACT, STEREO A: PLASTIC",
2023-10-28T05:35:00-HSS-001,High Speed Stream,2023-10-28T05:35Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2023-11-06T11:47:00-HSS-001,High Speed Stream,2023-11-06T11:47Z,,,,,,"ACE: SWEPAM, ACE: MAG, DSCOVR: PLASMAG",
